,Unnamed: 0,type,epoch,top1,top5,loss,time,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,0,train,0,0.31095,0.7329166666666667,0.0083452433764934,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
1,1,test,0,0.3125,0.7281,0.0083708113789558,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
2,2,train,1,0.3530666666666666,0.7663166666666666,0.0079481144706408,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
3,3,test,1,0.351,0.7604,0.0079855234622955,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
4,4,train,2,0.3743333333333333,0.7829166666666667,0.0077098155399163,4.2,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
5,5,test,2,0.3727,0.7788,0.0077447660803794,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
6,6,train,3,0.3914833333333333,0.8015666666666666,0.0074800060749053,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
7,7,test,3,0.3918,0.7969,0.0074932163596153,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
8,8,train,4,0.4066833333333333,0.8152,0.0072904927512009,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
9,9,test,4,0.4057,0.8103,0.0072851749300956,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
10,10,train,5,0.409,0.8287,0.0071773871699968,4.1,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
11,11,test,5,0.407,0.8284,0.0071564013004302,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
12,12,train,6,0.409,0.8364166666666667,0.0071001250326633,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
13,13,test,6,0.4094,0.8366,0.0070746417880058,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
14,14,train,7,0.40695,0.8475833333333334,0.0070450947324434,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
15,15,test,7,0.4098,0.8502,0.0070123176097869,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
16,16,train,8,0.4126333333333333,0.8472333333333333,0.007001961205403,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
17,17,test,8,0.4179,0.8517,0.0069666885614395,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
18,18,train,9,0.4116666666666667,0.8524666666666667,0.0069701300998528,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
19,19,test,9,0.4172,0.8564,0.0069327200531959,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
20,20,train,10,0.4191833333333333,0.85075,0.0069461369872093,4.1,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
21,21,test,10,0.4246,0.8561,0.0069053613066673,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
22,22,train,11,0.4187333333333333,0.85415,0.0069203412214914,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
23,23,test,11,0.4243,0.8593,0.006876515507698,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
24,24,train,12,0.4214333333333333,0.8557833333333333,0.0068993587036927,4.1,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
25,25,test,12,0.4259,0.8591,0.0068534095287323,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
26,26,train,13,0.42145,0.8583,0.0068811260302861,4.4,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
27,27,test,13,0.4266,0.8632,0.0068325188755989,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
28,28,train,14,0.42475,0.8574,0.00686162109375,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
29,29,test,14,0.43,0.8618,0.0068135203599929,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
30,30,train,15,0.42515,0.8594,0.0068478428661823,4.2,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
31,31,test,15,0.4292,0.8649,0.0067986333250999,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
32,32,train,16,0.4311166666666666,0.8559333333333333,0.0068337087631225,4.1,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
33,33,test,16,0.437,0.8612,0.0067822588086128,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
34,34,train,17,0.4291666666666666,0.8611833333333333,0.0068163882275422,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
35,35,test,17,0.4336,0.866,0.0067643994927406,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
36,36,train,18,0.43275,0.85875,0.0068026454428831,4.0,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
37,37,test,18,0.4388,0.8638,0.0067494378447532,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
38,38,train,19,0.4370833333333333,0.8635833333333334,0.0067592562754948,3.9,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
39,39,test,19,0.4425,0.8694,0.0067011300563812,,4802,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
40,0,train,0,0.4418666666666667,0.8649666666666667,0.0067386599918206,4.1,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
41,1,test,0,0.447,0.8702,0.0066755300760269,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
42,2,train,1,0.4447333333333333,0.8642833333333333,0.0067242300609747,4.0,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
43,3,test,1,0.4504,0.8692,0.0066649744987487,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
44,4,train,2,0.4476833333333333,0.86375,0.0067112564663092,4.1,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
45,5,test,2,0.4528,0.8686,0.0066510247588157,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
46,6,train,3,0.44935,0.8638333333333333,0.0066998764117558,4.1,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
47,7,test,3,0.4557,0.8694,0.0066387408733367,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
48,8,train,4,0.4458666666666667,0.8692666666666666,0.0066910009304682,4.1,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
49,9,test,4,0.4509,0.8758,0.0066315461039543,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
50,10,train,5,0.4524,0.86545,0.0066763813992341,4.0,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
51,11,test,5,0.4577,0.8706,0.0066153569817543,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
52,12,train,6,0.4534833333333333,0.8655,0.0066667313377062,4.1,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
53,13,test,6,0.4573,0.8717,0.0066027427196502,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
54,14,train,7,0.4559166666666667,0.8654333333333334,0.0066560967445373,4.0,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
55,15,test,7,0.4608,0.8732,0.0065905557870864,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
56,16,train,8,0.45485,0.8669,0.0066479140400886,4.1,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
57,17,test,8,0.4575,0.8714,0.0065870934963226,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
58,18,train,9,0.4565166666666667,0.8671333333333333,0.0066383028467496,3.9,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
59,19,test,9,0.4595,0.8711,0.0065775356054306,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
60,20,train,10,0.45775,0.8674166666666666,0.0066287170867125,4.0,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
61,21,test,10,0.4616,0.8734,0.006564881837368,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
62,22,train,11,0.4583333333333333,0.8672666666666666,0.0066204210360844,4.2,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
63,23,test,11,0.4624,0.8735,0.0065563784241676,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
64,24,train,12,0.4589,0.86805,0.0066139339268207,4.1,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
65,25,test,12,0.4614,0.8755,0.0065513437628746,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
66,26,train,13,0.4613166666666666,0.8688666666666667,0.0066046889225641,4.6,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
67,27,test,13,0.4658,0.8755,0.0065373822450637,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
68,28,train,14,0.4626,0.8678666666666667,0.0065979278206825,4.2,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
69,29,test,14,0.4664,0.8752,0.0065335413098335,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
70,30,train,15,0.4626,0.8685166666666667,0.0065902108470598,4.1,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
71,31,test,15,0.464,0.8761,0.0065240289926528,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
72,32,train,16,0.4609333333333333,0.87145,0.0065854413986206,4.1,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
73,33,test,16,0.466,0.8782,0.0065210108280181,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
74,34,train,17,0.4607833333333333,0.8716833333333334,0.0065797518114248,4.1,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
75,35,test,17,0.4657,0.8801,0.0065147801876068,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
76,36,train,18,0.4638333333333333,0.8712666666666666,0.0065704269210497,4.0,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
77,37,test,18,0.4684,0.8777,0.0065030932307243,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
78,38,train,19,0.4648333333333333,0.8690333333333333,0.0065662895898024,4.0,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
79,39,test,19,0.4674,0.8766,0.0065003087520599,,4802,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
80,0,train,0,0.4656,0.8700666666666667,0.0065610310971736,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
81,1,test,0,0.4688,0.8773,0.0064950179338455,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
82,2,train,1,0.46405,0.8730166666666667,0.0065559560477733,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
83,3,test,1,0.467,0.882,0.0064903686642646,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
84,4,train,2,0.4645166666666667,0.8720166666666667,0.0065498506983121,4.0,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
85,5,test,2,0.4699,0.8782,0.0064845061421394,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
86,6,train,3,0.4661,0.87125,0.0065471947113672,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
87,7,test,3,0.4694,0.8785,0.0064801017284393,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
88,8,train,4,0.4674166666666666,0.87175,0.0065407277723153,4.0,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
89,9,test,4,0.4691,0.8787,0.0064720980286598,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
90,10,train,5,0.4678833333333333,0.8708333333333333,0.0065371791303157,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
91,11,test,5,0.4699,0.8779,0.0064711951255798,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
92,12,train,6,0.4680166666666667,0.8710666666666667,0.0065319828907648,4.0,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
93,13,test,6,0.4713,0.8789,0.0064645058751106,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
94,14,train,7,0.4687,0.8718666666666667,0.0065272184610366,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
95,15,test,7,0.4721,0.8793,0.006461838710308,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
96,16,train,8,0.4681333333333333,0.8725333333333334,0.0065253139098485,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
97,17,test,8,0.471,0.8796,0.0064582049012184,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
98,18,train,9,0.47005,0.87165,0.0065211014548937,4.1,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
99,19,test,9,0.4735,0.8778,0.0064527248501777,,4802,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,backprop,CNN_backprop
