,type,epoch,top1,top5,loss,time,layer,round,grad_norm,network_norm,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9540166666666666,0.9980166666666667,0.0006480278434852759,7.2,0,0,0.24377778750617587,33.96673885648841,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9504,0.9972,0.0006973325848579407,,0,0,0.24377778750617587,33.96673885648841,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9692333333333333,0.9991833333333333,0.0004414942631497979,6.5,0,0,0.24377778750617587,33.96673885648841,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9607,0.9984,0.0005409630246460438,,0,0,0.24377778750617587,33.96673885648841,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9759833333333333,0.9995833333333334,0.00034773569535464046,6.6,0,0,0.24377778750617587,33.96673885648841,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9655,0.9988,0.00047290376760065556,,0,0,0.24377778750617587,33.96673885648841,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9763166666666667,0.9995833333333334,0.0003469834619512161,6.6,1,0,38.92747305197399,33.740996550794826,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9652,0.9987,0.00047821813859045507,,1,0,38.92747305197399,33.740996550794826,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9758,0.9996,0.00034844690362612405,6.6,1,0,38.92747305197399,33.740996550794826,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9654,0.9987,0.00047974894680082795,,1,0,38.92747305197399,33.740996550794826,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9764833333333334,0.9994666666666666,0.00034728602388252815,6.7,1,0,38.92747305197399,33.740996550794826,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9645,0.9989,0.0004744107477366924,,1,0,38.92747305197399,33.740996550794826,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9765166666666667,0.99955,0.000348983107196788,6.5,2,0,16.71388817498442,33.516990010200765,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9652,0.9987,0.0004752193436026573,,2,0,16.71388817498442,33.516990010200765,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9764833333333334,0.9996166666666667,0.0003513741696253419,6.5,2,0,16.71388817498442,33.516990010200765,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9645,0.9989,0.0004784779131412506,,2,0,16.71388817498442,33.516990010200765,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9762,0.9996333333333334,0.00035231244061142205,6.5,2,0,16.71388817498442,33.516990010200765,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.965,0.9991,0.0004812221601605415,,2,0,16.71388817498442,33.516990010200765,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9816166666666667,0.9996833333333334,0.0002739590193455418,6.6,0,1,0.26446251097042456,36.58365685029674,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9683,0.9989,0.00043885128796100614,,0,1,0.26446251097042456,36.58365685029674,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9851333333333333,0.9999,0.0002246191632313033,6.6,0,1,0.26446251097042456,36.58365685029674,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.968,0.9991,0.0004160245571285486,,0,1,0.26446251097042456,36.58365685029674,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9887666666666667,0.9998333333333334,0.00017640753428762158,6.6,0,1,0.26446251097042456,36.58365685029674,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9725,0.9991,0.000377091982588172,,0,1,0.26446251097042456,36.58365685029674,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9888333333333333,0.9999,0.00018009613991404574,6.5,1,1,64.1801870116091,36.33781088002541,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9701,0.9991,0.0003860170990228653,,1,1,64.1801870116091,36.33781088002541,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9889333333333333,0.9999,0.00017933276689921816,6.7,1,1,64.1801870116091,36.33781088002541,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9709,0.999,0.0003887645460665226,,1,1,64.1801870116091,36.33781088002541,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9884333333333334,0.9998833333333333,0.00018093622531741856,6.7,1,1,64.1801870116091,36.33781088002541,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9716,0.9989,0.0003809989461675286,,1,1,64.1801870116091,36.33781088002541,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9884,0.9998666666666667,0.00018135785901298126,6.8,2,1,25.14966919595193,36.093846397314735,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9716,0.999,0.0003827954176813364,,2,1,25.14966919595193,36.093846397314735,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9889,0.9998333333333334,0.00018341658208519221,6.6,2,1,25.14966919595193,36.093846397314735,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9712,0.9992,0.0003837877616286278,,2,1,25.14966919595193,36.093846397314735,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9887166666666667,0.9998666666666667,0.00018410819911708433,6.5,2,1,25.14966919595193,36.093846397314735,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9704,0.9991,0.0003871902022510767,,2,1,25.14966919595193,36.093846397314735,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9899166666666667,0.9999333333333333,0.0001573229026204596,6.6,0,2,0.16999589513290592,38.90007850378782,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9721,0.9993,0.0003720814406871796,,0,2,0.16999589513290592,38.90007850378782,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9928166666666667,0.9999833333333333,0.00012955680928813915,6.9,0,2,0.16999589513290592,38.90007850378782,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9728,0.9991,0.0003664974521845579,,0,2,0.16999589513290592,38.90007850378782,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9941166666666666,0.9999833333333333,0.00010994456747236351,6.7,0,2,0.16999589513290592,38.90007850378782,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9747,0.9991,0.0003624063190072775,,0,2,0.16999589513290592,38.90007850378782,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9941,0.9999833333333333,0.00011045299515438577,6.6,1,2,75.91216825122109,38.63658165013093,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9749,0.9991,0.00035129620395600797,,1,2,75.91216825122109,38.63658165013093,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9940166666666667,0.9999833333333333,0.00010952272134212156,6.7,1,2,75.91216825122109,38.63658165013093,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9743,0.9991,0.0003500799123197794,,1,2,75.91216825122109,38.63658165013093,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99445,0.9999666666666667,0.00010946939176258942,6.5,1,2,75.91216825122109,38.63658165013093,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9745,0.999,0.00035121714510023594,,1,2,75.91216825122109,38.63658165013093,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9939166666666667,0.9999833333333333,0.0001115883182734251,6.6,2,2,28.840519529703094,38.37509630752573,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9729,0.9993,0.00035266129449009896,,2,2,28.840519529703094,38.37509630752573,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9940333333333333,0.9999833333333333,0.00011229356694966555,6.5,2,2,28.840519529703094,38.37509630752573,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9736,0.9991,0.00035213296245783566,,2,2,28.840519529703094,38.37509630752573,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.994,0.9999666666666667,0.00011245523118413985,6.8,2,2,28.840519529703094,38.37509630752573,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9739,0.9991,0.0003556228656321764,,2,2,28.840519529703094,38.37509630752573,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9944166666666666,0.9999833333333333,0.00010623967982828616,6.8,0,3,0.05825673191345497,41.037095888446366,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9721,0.9993,0.0003753725651651621,,0,3,0.05825673191345497,41.037095888446366,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9952,1.0,8.72040482548376e-05,6.8,0,3,0.05825673191345497,41.037095888446366,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9725,0.9996,0.0003634718589484692,,0,3,0.05825673191345497,41.037095888446366,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9965166666666667,1.0,7.244220150945087e-05,6.8,0,3,0.05825673191345497,41.037095888446366,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9735,0.9991,0.0003731958294287324,,0,3,0.05825673191345497,41.037095888446366,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9961833333333333,1.0,7.34531889980038e-05,7.1,1,3,71.64896391911073,40.75742301314264,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9741,0.9992,0.00036447697672992944,,1,3,71.64896391911073,40.75742301314264,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.99625,1.0,7.452829553124805e-05,7.1,1,3,71.64896391911073,40.75742301314264,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9738,0.9991,0.00036544753573834895,,1,3,71.64896391911073,40.75742301314264,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9963166666666666,0.9999833333333333,7.487761919231464e-05,6.6,1,3,71.64896391911073,40.75742301314264,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9727,0.9992,0.0003710206765681505,,1,3,71.64896391911073,40.75742301314264,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9964333333333333,0.9999833333333333,7.480736799382915e-05,6.9,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9743,0.9989,0.0003705143650993705,,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.99635,1.0,7.588972536226113e-05,7.0,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9732,0.999,0.00036828647777438164,,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99645,1.0,7.689353598592182e-05,6.7,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9717,0.9992,0.00036751725766807794,,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9969166666666667,1.0,6.483307616629948e-05,7.1,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.974,0.9996,0.000364440883602947,,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9973666666666666,1.0,5.924759975168854e-05,7.1,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9741,0.9991,0.00035647063683718445,,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99775,1.0,5.2234585268888626e-05,7.2,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9735,0.9992,0.0003782300520688295,,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9977833333333334,1.0,5.277182674811532e-05,6.8,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9737,0.9989,0.00036482211332768203,,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.99785,1.0,5.170111523475498e-05,7.1,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9734,0.9994,0.0003740306355059147,,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99805,1.0,5.3651549674881e-05,6.6,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9742,0.9991,0.0003744094751775265,,1,4,94.11937152525789,42.71527535965031,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9978666666666667,1.0,5.3607067558914426e-05,7.2,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9734,0.9994,0.0003744253676384687,,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9977666666666667,1.0,5.4241055777917303e-05,6.7,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9741,0.9991,0.0003646729672327638,,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.998,1.0,5.3885183312619726e-05,6.7,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9731,0.9991,0.00036946898605674507,,2,4,37.15166304422163,42.42293554754273,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
