,type,epoch,top1,top5,loss,time,grad_norm,network_norm,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9518,0.9980833333333333,0.0006774334814399481,3.9,18.315212827410928,31.96236332388304,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9483,0.9977,0.0007265062026679516,,,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9667,0.9990333333333333,0.0004775366886208455,3.9,26.05778261823813,32.95727774357228,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9602,0.9986,0.000560764142870903,,,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9753166666666667,0.9993833333333333,0.00036880310910443465,3.8,32.55381452206491,33.873196807120046,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9652,0.9984,0.00048609126843512056,,,,135072,0,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.98015,0.9995833333333334,0.00029047181376566487,3.9,38.598597355955064,34.93324694801023,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9674,0.9988,0.0004424231570214033,,,,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9852833333333333,0.9997,0.00022821027726555864,3.9,43.67821796833395,35.88624935990108,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9695,0.9992,0.00041369855999946596,,,,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9874666666666667,0.9998166666666667,0.00019453094868610303,3.8,48.219638533235894,36.78621413574156,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9706,0.9987,0.00040604674592614173,,,,135072,1,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9901833333333333,0.9998833333333333,0.00016039828229695558,4.0,52.72012504688655,37.79119054589791,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9718,0.9989,0.00037899412214756014,,,,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9924,0.9999,0.0001320043977815658,3.9,56.72749760101486,38.67959937702037,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9733,0.9988,0.0003740065209567547,,,,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9938833333333333,0.9999666666666667,0.00011087364504734675,3.8,60.46294969857859,39.496917186609814,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9754,0.9991,0.0003695589488372207,,,,135072,2,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9950166666666667,0.9999333333333333,9.667256642132998e-05,3.9,64.23786883795908,40.473002365522184,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9725,0.9988,0.00038575829919427633,,,,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.99585,0.9999666666666667,8.506215601228178e-05,3.9,67.53154089555507,41.27386446811213,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9727,0.9988,0.00039961706064641476,,,,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9965,0.9999666666666667,7.285696850158275e-05,3.9,70.74021169275048,42.05237097204773,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9717,0.9988,0.00039256187491118905,,,,135072,3,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.99725,0.9999833333333333,6.590366275049746e-05,3.9,73.5035995910364,42.893892342558324,135072,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9738,0.9989,0.0003813521806150675,,,,135072,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9972,0.9999666666666667,6.088569892259936e-05,3.9,76.19847265719777,43.623233500750935,135072,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9721,0.9993,0.0003911588046699762,,,,135072,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9979666666666667,1.0,4.968703893246129e-05,3.8,78.73034457364471,44.331017863836095,135072,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9744,0.999,0.0003887234864756465,,,,135072,4,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.99845,1.0,4.4897780319054923e-05,4.0,81.18932324037173,45.138624221790614,135072,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9723,0.9989,0.0004065946700051427,,,,135072,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9984833333333333,0.9999833333333333,4.0015759815772375e-05,3.8,83.35963765230099,45.814976807858166,135072,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9727,0.9991,0.0004066919894888997,,,,135072,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9989666666666667,1.0,3.267096328781918e-05,3.8,85.37527666455276,46.474982547141444,135072,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9737,0.9992,0.00040844324044883254,,,,135072,5,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9989666666666667,1.0,3.126848950244797e-05,3.9,87.13582116338219,47.212026184466495,135072,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9732,0.9986,0.0004264469876885414,,,,135072,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9989166666666667,1.0,2.994361271460851e-05,3.8,88.84777190649966,47.848367530375576,135072,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9737,0.9991,0.00042063016183674335,,,,135072,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9992833333333333,1.0,2.6581754236637303e-05,4.0,90.63188174874944,48.48965474567291,135072,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9747,0.9992,0.00040614682286977766,,,,135072,6,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9990166666666667,1.0,2.3981142201228067e-05,3.9,92.15564261930164,49.13317044764086,135072,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9731,0.9992,0.00041902634017169476,,,,135072,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9996,1.0,1.935983133929161e-05,3.9,93.53353556061586,49.715805094187125,135072,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9736,0.999,0.0004029723484069109,,,,135072,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9993666666666666,1.0,1.9936806248733775e-05,3.9,95.00287846766248,50.20775815454442,135072,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9745,0.9989,0.00041848249565809966,,,,135072,7,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9996333333333334,1.0,1.5699262003181503e-05,4.0,96.28446098986963,50.819906444368826,135072,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9754,0.9989,0.0004083228672854602,,,,135072,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9989833333333333,1.0,2.2229876749527952e-05,3.9,97.43826965414597,51.323822766350645,135072,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9741,0.9991,0.00044244257770478725,,,,135072,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.99955,1.0,1.591215351848708e-05,3.9,98.60920921457557,51.77200812755105,135072,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9752,0.9995,0.00043357355929911134,,,,135072,8,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9998166666666667,1.0,1.2858048267662526e-05,4.0,99.76804444596068,52.37251022606979,135072,9,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.975,0.9994,0.00041568859703838823,,,,135072,9,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9997666666666667,1.0,1.3336448070670789e-05,3.9,100.71849435937705,52.83102593567319,135072,9,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9746,0.9988,0.00043309334702789785,,,,135072,9,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9998666666666667,1.0,1.0454756489101176e-05,4.0,101.61541818203284,53.25045069163999,135072,9,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9754,0.9987,0.0004375002007931471,,,,135072,9,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9996,1.0,1.2008101340325084e-05,3.9,102.50417561273945,53.76519911802122,135072,10,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9766,0.999,0.00044888996984809637,,,,135072,10,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9997,1.0,1.0968145483639091e-05,3.9,103.48844950215691,54.26799366453514,135072,10,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9759,0.9993,0.00047140638399869206,,,,135072,10,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9998333333333334,1.0,7.737022254150361e-06,4.2,104.20454743028952,54.62737733892684,135072,10,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9756,0.999,0.0004600000536069274,,,,135072,10,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9997333333333334,1.0,1.02676186725148e-05,4.0,105.03383610069741,55.169066937123446,135072,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9743,0.9991,0.00047797262091189624,,,,135072,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9997166666666667,1.0,1.0937680042601035e-05,3.9,105.90782323751874,55.52303204919452,135072,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9741,0.9994,0.0004691236063838005,,,,135072,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9998166666666667,1.0,7.930655067805977e-06,4.0,106.49785227224795,55.808361061706364,135072,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9741,0.9991,0.0004746891712769866,,,,135072,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9997,1.0,8.961851543184215e-06,4.0,107.1482570996921,56.260293010803906,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9742,0.9993,0.0004779080425389111,,,,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9997666666666667,1.0,7.3143312188525064e-06,4.0,107.77554745535436,56.64240524082066,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9753,0.9989,0.00046673122150823473,,,,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.99985,1.0,8.243672180590996e-06,4.0,108.35382442268018,56.980943667561284,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9742,0.999,0.0004741576249711216,,,,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9994,1.0,1.192224194383016e-05,4.0,108.93203028771757,57.411155112561026,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9756,0.9992,0.0004700349938124418,,,,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9997166666666667,1.0,6.322868385662635e-06,3.9,109.48962878839882,57.68164778261997,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9745,0.9989,0.00048568010814487933,,,,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.99975,1.0,7.932316848018672e-06,3.9,110.14568561478464,57.996615302958375,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9731,0.9993,0.0005092405486851931,,,,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9998666666666667,1.0,6.913622849727592e-06,3.9,110.87078555668656,58.383072166410884,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9738,0.9991,0.0004904641292057931,,,,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9998,1.0,6.797134127797714e-06,4.0,111.49268385471427,58.64004598245644,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9755,0.9993,0.0004869733426719904,,,,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9997666666666667,1.0,6.842665741957414e-06,3.9,112.0741671837998,58.94225629715268,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.974,0.9992,0.0005197112522087992,,,,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
